id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
1,Men,Apparel,Dress,Maxi Dress,Red,Winter,2013.0,Travel,Men Maxi Dress Red
2,Women,Apparel,Jacket,Leather Jacket,Navy Blue,Winter,2023.0,Party,Women Leather Jacket Navy Blue
3,Men,Footwear,Sandals,Flat Sandals,,Summer,2019.0,Travel,Men Flat Sandals Olive
4,Men,Apparel,Jacket,Leather Jacket,Peach,Fall,2015.0,Party,Men Leather Jacket Peach
5,Women,Footwear,Flip Flops,Beach Flip Flops,Yellow,Summer,2017.0,Casual,Women Beach Flip Flops Yellow
6,Women,Apparel,Dress,Maxi Dress,Red,Fall,2023.0,Ethnic,Women Maxi Dress Red
7,Women,,Jacket,Leather Jacket,Coral,Spring,2018.0,Ethnic,Women Leather Jacket Coral
8,Women,Apparel,Jacket,Denim Jacket,Green,Winter,2013.0,Travel,Women Denim Jacket Green
9,Men,Footwear,Flip Flops,Beach Flip Flops,Black,Fall,2019.0,Formal,Men Beach Flip Flops Black
10,Men,Footwear,Sandals,Flat Sandals,Green,Spring,2016.0,Ethnic,Men Flat Sandals Green
11,Men,Apparel,Topwear,Shirt,Navy Blue,Winter,2017.0,Casual,Men Shirt Navy Blue
12,Men,Apparel,Jacket,Denim Jacket,Peach,Spring,2016.0,Casual,Men Denim Jacket Peach
13,Women,Footwear,Shoes,Sneakers,Red,Winter,2024.0,Formal,Women Sneakers Red
14,Men,Apparel,Bottomwear,,Olive,Spring,2025.0,Formal,Men Jeans Olive
15,Women,Apparel,Bottomwear,Trousers,Red,Summer,2011.0,Travel,Women Trousers Red
16,Men,Apparel,Bottomwear,Trousers,Black,Winter,2011.0,Ethnic,Men Trousers Black
17,Men,Footwear,Flip Flops,Beach Flip Flops,Black,Summer,2024.0,Ethnic,Men Beach Flip Flops Black
18,Women,Footwear,Shoes,Formal Shoes,Turquoise Blue,Fall,2010.0,Travel,Women Formal Shoes Turquoise Blue
19,Women,Footwear,Sandals,Flat Sandals,Yellow,Winter,,Ethnic,Women Flat Sandals Yellow
20,Women,Apparel,Jacket,Leather Jacket,Turquoise Blue,Summer,2013.0,Casual,Women Leather Jacket Turquoise Blue
21,Women,Apparel,Dress,Maxi Dress,Red,Summer,2021.0,Ethnic,Women Maxi Dress Red
22,Women,Apparel,Bottomwear,Shorts,Yellow,Spring,2017.0,Party,Women Shorts Yellow
23,Men,Apparel,Topwear,Blouse,Red,Spring,2020.0,Party,Men Blouse Red
24,Men,Footwear,Shoes,Formal Shoes,Navy Blue,Summer,2023.0,Party,Men Formal Shoes Navy Blue
